title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Mazda CX-5,https://www.otomoto.pl/oferta/mazda-cx-5-2-5-skyactiv-g-194km-automat-sky-passion-alarm-ID6DuUaa.html#d168bb9cd0,2020 ,1 km,2 488 cm3,Benzyna,162 160,PLN,Chorzów,(Śląskie)
Ford Focus 2.0,https://www.otomoto.pl/oferta/ford-focus-st-recaro-lopatki-ledy-xenon-niemcy-serwis-2-0-185ps-jedyny-w-pl-ful-ID6Dvm7b.html#d168bb9cd0,2016 ,167 000 km,1 997 cm3,Diesel,59 999,PLN,Kije,(Świętokrzyskie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-1-5-tsi-130km-xcellence-akt-tempomat-pakiet-zimowy-kamera-opcje-ID6Dw9qj.html#d168bb9cd0,2020 ,1 km,1 498 cm3,Benzyna,87 050,PLN,Chorzów,(Śląskie)
BMW X3,https://www.otomoto.pl/oferta/bmw-x3-bmw-x3-xdrive20d-ID6DibZ5.html#d168bb9cd0,2020 ,5 km,1 995 cm3,Diesel,226 500,PLN,Łódź,(Łódzkie)
BMW X5 M M50d,https://www.otomoto.pl/oferta/bmw-x5-m-m50d-xdrive-mpakiet-pneum-nawi-panor-felgi-22-laser-oplacony-fv23-ID6Dvm74.html#d168bb9cd0,2019 ,28 000 km,2 993 cm3,Diesel,289 050,PLN,Poznań,(Wielkopolskie)
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-highline-1-6-tdi-115-km-1-wlasciciel-bezwypadkowy-idealny-12-2017-ID6Dvm6F.html#d168bb9cd0,2017 ,28 114 km,1 598 cm3,Diesel,59 900,PLN,Warszawa,(Mazowieckie)
Ford Focus 1.6,https://www.otomoto.pl/oferta/ford-focus-1-6-tdci115ps-klima-elektryka-serwis-super-stan-gwarancja-ID6DuU8z.html#d168bb9cd0,2012 ,210 000 km,1 560 cm3,Diesel,19 990,PLN,Zagórze,(Małopolskie)
Subaru XV 1.6i,https://www.otomoto.pl/oferta/subaru-xv-subaru-xv-subaru-xv-2012-salon-polska-serwis-aso-zamiana-ID6Dvm6c.html#d168bb9cd0,2011 ,90 000 km,1 600 cm3,Benzyna,37 000,PLN,Zwierzyniec,(Lubelskie)
Lexus GS 450h,https://www.otomoto.pl/oferta/lexus-gs-osoba-prywatna-ID6DvlXx.html#d168bb9cd0,2009 ,117 150 km,3 456 cm3,Hybryda,72 000,PLN,Legnica,(Dolnośląskie)
Audi A8,https://www.otomoto.pl/oferta/audi-a8-50-tdi-quattro-286-km-os-skretna-night-vision-oled-fv-23-ID6DtpKK.html#43e5eea500,2019 ,35 806 km,2 967 cm3,Diesel,339 900,PLN,Warszawa,(Mazowieckie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-530i-xdrive-sedan-ID6DiyYK.html#43e5eea500,2020 ,5 km,1 998 cm3,Benzyna,292 400,PLN,Łódź,(Łódzkie)
Renault Megane 1.5,https://www.otomoto.pl/oferta/renault-megane-iii-fl-2015-r-salon-pl-bezwypadkowe-ID6DwdKK.html#43e5eea500,2015 ,165 000 km,1 461 cm3,Diesel,24 900,PLN,Wrocław,(Dolnośląskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-alufelgi-klimatronik-navi-skora-serwis-aso-bezwypadek-gwarancja-ID6DmTDx.html#43e5eea500,2015 ,165 000 km,1 600 cm3,Diesel,51 400,PLN,Rogów Opolski,(Opolskie)
Nissan Juke 1.6,https://www.otomoto.pl/oferta/nissan-juke-2012-1-6-benzyna-117-ps-tekna-star-stop-navi-kamera-bogata-wersja-ID6DjA2J.html#43e5eea500,2012 ,110 000 km,1 598 cm3,Benzyna,36 500,PLN,Szczecin,(Zachodniopomorskie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-520d-xdrive-sedan-ID6DixKP.html#43e5eea500,2020 ,5 km,1 995 cm3,Diesel,233 400,PLN,Łódź,(Łódzkie)
