title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
BMW X4 xDrive20d,https://www.otomoto.pl/oferta/bmw-x4-bmw-x4-m-pakiet-szyberdach-head-up-kamera-kola-lato-zima-dvd-ID6DuHyp.html#64231c9db8,2014 ,133 964 km,1 995 cm3,Diesel,102 750,PLN,Częstochowa,(Śląskie)
Mazda 2 1.3,https://www.otomoto.pl/oferta/mazda-2-1-3-86km-z-niemiec-klimatronik-grzane-fotele-2x-alusy-oplacona-ID6DwRpN.html#64231c9db8,2007 ,154 000 km,1 349 cm3,Benzyna,13 950,PLN,Gniezno,(Wielkopolskie)
Mercedes-Benz Klasa E W212,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-e350-cdi-265km-amg-oplacony-szwajcar-ID6DwReF.html#64231c9db8,2012 ,200 000 km,2 987 cm3,Diesel,58 800,PLN,Bytom,(Śląskie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-530d-xdrive-m-pakiet-acc-headup-harman-kardon-dvd-ID6CTfxP.html#64231c9db8,2016 ,236 000 km,2 995 cm3,Diesel,69 990,PLN,Koszalin,(Zachodniopomorskie)
Jeep Renegade 1.6,https://www.otomoto.pl/oferta/jeep-renegade-longitude-polski-dealer-serwis-w-aso-pierwszy-wlasciciel-ID6DwRpa.html#64231c9db8,2015 ,92 000 km,1 598 cm3,Benzyna,52 000,PLN,Gdańsk,(Pomorskie)
Peugeot 508 2.0,https://www.otomoto.pl/oferta/peugeot-508-peugeot-508-sw-2-0-hdi-163km-automat-allure-bogata-wersja-navi-xenon-ID6DwqZx.html#64231c9db8,2013 ,242 000 km,1 997 cm3,Diesel,38 900,PLN,Gniezno,(Wielkopolskie)
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-ID6Dtrog.html#64231c9db8,2013 ,199 999 km,1 987 cm3,Diesel,23 500,PLN,Radomsko,(Łódzkie)
Audi A1,https://www.otomoto.pl/oferta/audi-a1-s-line-bose-bixenon-pdc-h-r-ID6Dsv1t.html#64231c9db8,2010 ,182 123 km,1 600 cm3,Diesel,33 600,PLN,Wrocław,(Dolnośląskie)
Land Rover Range Rover Sport S,https://www.otomoto.pl/oferta/land-rover-range-rover-sport-hse-dynamic-340km-v8-diesel-my16-1wl-garaz-stan-bdb-ID6Dvvpi.html#64231c9db8,2015 ,90 000 km,4 367 cm3,Diesel,250 000,PLN,Poznań,(Wielkopolskie)
Mitsubishi ASX 1.6,https://www.otomoto.pl/oferta/mitsubishi-asx-mitsubishi-asx-1-6-di-d-2wd-2017r-ID6DwRoo.html#64231c9db8,2017 ,155 000 km,1 560 cm3,Diesel,45 900,PLN,Koło,(Wielkopolskie)
BMW Seria 3 318d,https://www.otomoto.pl/oferta/bmw-seria-3-serwisowana-stan-bdb-ID6DwRoG.html#64231c9db8,2007 ,282 309 km,1 995 cm3,Diesel,16 500,PLN,Warszawa,(Mazowieckie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-8v-sedan-jak-nowa-jedyna-dsg-180km-ID6CLXoi.html#64231c9db8,2015 ,73 188 km,1 800 cm3,Benzyna,55 500,PLN,Suchożebry,(Mazowieckie)
Renault Megane 1.2,https://www.otomoto.pl/oferta/renault-megane-lift-1-2tce-115km-klimatronik-tempomat-navi-led-bluetooth-usb-ID6DjCTc.html#64231c9db8,2014 ,89 000 km,1 197 cm3,Benzyna,28 500,PLN,Elbląg,(Warmińsko-mazurskie)
Ford EcoSport,https://www.otomoto.pl/oferta/ford-ecosport-1-5-tdci-90-km-klimatronic-czujniki-ID6DwRmK.html#64231c9db8,2015 ,80 000 km,1 500 cm3,Diesel,33 900,PLN,Chodzież,(Wielkopolskie)
Volkswagen Polo,https://www.otomoto.pl/oferta/volkswagen-polo-polo-9n-goal-ID6DnIel.html#64231c9db8,2006 ,173 500 km,1 198 cm3,Benzyna,11 900,PLN,Mysłowice,(Śląskie)
Dodge Durango,https://www.otomoto.pl/oferta/dodge-durango-srt-392-481-km-6-4-hemi-4x4-full-opcja-ID6D0kBc.html#64231c9db8,2018 ,128 250 km,6 400 cm3,Benzyna,159 800,PLN,Kocmyrzów,(Małopolskie)
Opel Astra II,https://www.otomoto.pl/oferta/opel-astra-niezawodny-2-0-dti-juz-za-pozno-ID6Dsy1p.html#64231c9db8,2003 ,190 000 km,1 995 cm3,Diesel,6 500,PLN,Raków,(Świętokrzyskie)
Opel Insignia 2.0,https://www.otomoto.pl/oferta/opel-insignia-opel-insignia-2-0-cdti-140km-pierwszy-wlasciciel-w-pl-hak-led-aso-ID6DnFpY.html#64231c9db8,2013 ,238 000 km,1 956 cm3,Diesel,32 500,PLN,Czaplinek,(Zachodniopomorskie)
Seat Altea 1.6,https://www.otomoto.pl/oferta/seat-altea-1-6-mpi-102km-100-bezwypadkowa-stan-perfekcyjny-ID6DthVw.html#64231c9db8,2006 ,152 000 km,1 595 cm3,Benzyna,13 600,PLN,Cielimowo,(Wielkopolskie)
Suzuki Swift,https://www.otomoto.pl/oferta/suzuki-swift-1-2-dualjet-90km-fv23-kamera-isofix-bluetooth-podgrzewane-fotele-ID6DueoG.html#64231c9db8,2018 ,44 062 km,1 242 cm3,Benzyna,45 900,PLN,Warszawa,(Mazowieckie)
Mercedes-Benz Klasa C,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-1-8-c-180-kompressor-156km-szyberdach-polskora-czujniki-p-t-isofix-ID6DueoU.html#64231c9db8,2011 ,145 051 km,1 796 cm3,Benzyna,46 900,PLN,Warszawa,(Mazowieckie)
Fiat Grande Punto,https://www.otomoto.pl/oferta/fiat-grande-punto-ID6Dh741.html#bc3f889244,2009 ,184 630 km,1 368 cm3,Benzyna,11 400,PLN,Mysłowice,(Śląskie)
Opel Astra V,https://www.otomoto.pl/oferta/opel-astra-astra-1-6-cdti-10-2016-innovation-navi-skora-aso-bezwypadkowa-favat23-ID6DvpxM.html#bc3f889244,2016 ,155 799 km,1 598 cm3,Diesel,39 700,PLN,Sokołów Podlaski,(Mazowieckie)
Hyundai ix35,https://www.otomoto.pl/oferta/hyundai-ix35-1-6-gdi-135km-skora-alufelgi-bluetooth-usb-multifunkcja-isofix-ID6Dueox.html#bc3f889244,2013 ,140 148 km,1 591 cm3,Benzyna,45 900,PLN,Warszawa,(Mazowieckie)
Ford KA 1.2,https://www.otomoto.pl/oferta/ford-ka-bezwypadkowy-serwisowany-klimatyzacja-ID6DtfoL.html#bc3f889244,2015 ,101 000 km,1 242 cm3,Benzyna,16 300,PLN,Bolesławiec,(Dolnośląskie)
Opel Meriva,https://www.otomoto.pl/oferta/opel-meriva-meriva-a-lift-ID6DgMqg.html#bc3f889244,2006 ,189 400 km,1 364 cm3,Benzyna,8 900,PLN,Mysłowice,(Śląskie)
BMW X5,https://www.otomoto.pl/oferta/bmw-x5-35i-306km-2018-panorama-adaptiveled-kamery360-harman-kardon-zamiana-ID6DwRjb.html#bc3f889244,2018 ,36 000 km,3 000 cm3,Benzyna,195 000,PLN,Gdańsk,(Pomorskie)
Porsche Cayenne,https://www.otomoto.pl/oferta/porsche-cayenne-porsche-cayenne-s-bixenon-nowe-opony-doinwestowany-ID6Dn4cj.html#bc3f889244,2003 ,290 000 km,4 511 cm3,Benzyna,35 500,PLN,Łeba,(Pomorskie)
BMW Seria 7 730d,https://www.otomoto.pl/oferta/bmw-seria-7-bmw-seria-730d-ID6DwRjw.html#bc3f889244,2009 ,232 000 km,2 993 cm3,Diesel,62 000,PLN,Szydłowiec,(Mazowieckie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-1-5-165km-benzyna-od-dealera-gwarancja-ID6DuHsH.html#bc3f889244,2019 ,12 800 km,1 499 cm3,Benzyna,96 900,PLN,Częstochowa,(Śląskie)
Land Rover Discovery,https://www.otomoto.pl/oferta/land-rover-discovery-discovery-sport-2-0-td4-pure-ID6DwfFV.html#bc3f889244,2017 ,79 739 km,1 999 cm3,Diesel,109 900,PLN,Natolin,(Mazowieckie)
BMW Seria 5 520d,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-5-ID6Dvvhr.html#bc3f889244,2011 ,155 000 km,1 995 cm3,Diesel,55 000,PLN,Brzozów,(Podkarpackie)
Seat Arona 1.0,https://www.otomoto.pl/oferta/seat-arona-fr-1-0-tsi-110-km-automatyczna-dsg-5-lat-gwarancji-ID6Dlvp6.html#bc3f889244,2020 ,10 km,999 cm3,Benzyna,98 000,PLN,Suchy Las,(Wielkopolskie)
BMW X1 sDrive18d,https://www.otomoto.pl/oferta/bmw-x1-bmw-x1-m-pakiet-piekna-wersja-stan-idealny-full-led-okazja-ID6D5EZ5.html#bc3f889244,2016 ,214 000 km,1 995 cm3,Diesel,67 900,PLN,Kraków,(Małopolskie)
Dodge RAM,https://www.otomoto.pl/oferta/dodge-ram-6-4-hemi-4x4-koszty-100-odlicz-23-vat-pelna-faktura-ID6DgGmN.html#bc3f889244,2014 ,78 000 km,6 400 cm3,Benzyna,110 000,PLN,Gdynia,(Pomorskie)
Volkswagen Touran 1.5,https://www.otomoto.pl/oferta/volkswagen-touran-highline-1-5-tsi-150km-dsg-od-reki-plichta-ID6DuVkB.html#bc3f889244,2020 ,10 km,1 498 cm3,Benzyna,125 400,PLN,Toruń,(Kujawsko-pomorskie)
Audi A4 Avant,https://www.otomoto.pl/oferta/audi-a4-170km-nawigacja-jasne-wnetrze-skory-manual-ID6DvviK.html#bc3f889244,2009 ,238 000 km,1 968 cm3,Diesel,32 900,PLN,Łódź,(Łódzkie)
Ford Fiesta,https://www.otomoto.pl/oferta/ford-fiesta-fiesta-mk6-lift-ID6DgMhs.html#bc3f889244,2006 ,101 021 km,1 299 cm3,Benzyna,8 900,PLN,Mysłowice,(Śląskie)
Mercedes-Benz Klasa E,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-benz-e-250-cdi-4matic-amg-ID6DtYLy.html#bc3f889244,2013 ,102 413 km,2 500 cm3,Diesel,88 000,PLN,Przasnysz,(Mazowieckie)
Ford S-Max 2.0,https://www.otomoto.pl/oferta/ford-s-max-2-0i-145km-1-wlasciciel-nawigacja-klimatronik-alu-mega-zadbany-ID6DuHqu.html#bc3f889244,2007 ,149 852 km,1 999 cm3,Benzyna,18 200,PLN,Celiny,(Świętokrzyskie)
Toyota Verso 1.8,https://www.otomoto.pl/oferta/toyota-verso-1-8-vvti-147km-panorama-nawigacja-7-osobowy-alufelgi-ID6DwfEu.html#bc3f889244,2011 ,136 636 km,1 798 cm3,Benzyna,35 555,PLN,Brańszczyk,(Mazowieckie)
Toyota Corolla Verso 1.8,https://www.otomoto.pl/oferta/toyota-corolla-verso-duza-nawigacja-tv-dvd-ledy-7-osobowa-webasto-na-pilota-ID6Dtr11.html#bc3f889244,2005 ,173 000 km,1 794 cm3,Benzyna,15 950,PLN,Winiary,(Wielkopolskie)
Peugeot 308,https://www.otomoto.pl/oferta/peugeot-308-zadbane-doinwestowane-auto-z-lpg-sekwencja-ID6DocLW.html#bc3f889244,2009 ,270 000 km,1 598 cm3,Benzyna+LPG,11 990,PLN,Garwolin,(Mazowieckie)
Audi A4 2.0,https://www.otomoto.pl/oferta/audi-a4-audi-a4-2-0-fsi-super-stan-udokumentowany-przebieg-ID6DvvhA.html#bc3f889244,2006 ,211 000 km,1 984 cm3,Benzyna,23 900,PLN,Wieprz,(Małopolskie)
BMW Seria 5 518d,https://www.otomoto.pl/oferta/bmw-seria-5-gwarancja-serwis-30-07-2023-ID6DwfCY.html#bc3f889244,2018 ,52 000 km,1 995 cm3,Diesel,123 559,PLN,Kraków,(Małopolskie)
Volkswagen Golf Plus 1.6,https://www.otomoto.pl/oferta/volkswagen-golf-plus-1-6-105ps-common-rail-match-sprowadzony-z-niemiec-bardzo-ladny-ID6Dvvgy.html#bc3f889244,2012 ,235 671 km,1 598 cm3,Diesel,25 700,PLN,Pasłęk,(Warmińsko-mazurskie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-1-7cdti-klima-salon-pl-oryginalny-lakier-pelna-historia-serwisowa-ID6DwqNx.html#bc3f889244,2012 ,234 482 km,1 700 cm3,Diesel,17 999,PLN,Zambrów,(Podlaskie)
Nissan Qashqai 1.6,https://www.otomoto.pl/oferta/nissan-qashqai-1-6-16v-117km-100-bezwypadkowy-z-niemiec-ID6DtsXE.html#bc3f889244,2009 ,157 000 km,1 598 cm3,Benzyna,25 200,PLN,Winiary,(Wielkopolskie)
Renault Koleos 2.0,https://www.otomoto.pl/oferta/renault-koleos-koleos-2-0-dci-4x4-dynamique-bez-wkladu-finans-pierwszy-wlasciciel-ID6D8vbF.html#bc3f889244,2008 ,241 889 km,1 995 cm3,Diesel,17 900,PLN,Ostrów Wielkopolski,(Wielkopolskie)
Renault Fluence 1.6,https://www.otomoto.pl/oferta/renault-fluence-renault-fluence-salon-polska-1-6-benzyna-jeden-wlasciciel-ID6DwP3f.html#bc3f889244,2010 ,92 483 km,1 598 cm3,Benzyna,22 600,PLN,Czeladź,(Śląskie)
Renault Laguna II,https://www.otomoto.pl/oferta/renault-laguna-renault-laguna-ii-2006r-2-0-benzyna-automat-oryginalny-przebieg-ID6Dvv8y.html#bc3f889244,2006 ,143 628 km,1 998 cm3,Benzyna,12 700,PLN,Poraj,(Śląskie)
Škoda Fabia 1.2,https://www.otomoto.pl/oferta/skoda-fabia-1-2-tsi-monte-carlo-dobrze-wyposazona-navi-ID6CUefK.html#bc3f889244,2012 ,124 500 km,1 197 cm3,Benzyna,20 500,PLN,Siedlce,(Mazowieckie)
Chrysler Crossfire Standard,https://www.otomoto.pl/oferta/chrysler-crossfire-chrysler-crossfire-3-2-v6-218-km-ID6Dvva9.html#bc3f889244,2006 ,77 000 km,3 199 cm3,Benzyna,31 500,PLN,Łódź,(Łódzkie)
Kia Sportage 2.0,https://www.otomoto.pl/oferta/kia-sportage-2-0lpgbrc142km-navi-kameracofania-dvd-oplacony-gwarancja-ID6DwRbe.html#df30e8091f,2010 ,116 880 km,1 975 cm3,Benzyna+LPG,27 500,PLN,Pabianice,(Łódzkie)
Lancia Ypsilon 1.2,https://www.otomoto.pl/oferta/lancia-ypsilon-klimatronik-parktronik-okazja-ID6DwRao.html#df30e8091f,2011 ,20 999 km,1 242 cm3,Benzyna,14 900,PLN,Łódź,(Łódzkie)
Opel Zafira 2.0,https://www.otomoto.pl/oferta/opel-zafira-2-0turbo-opc-recaro-xenon-ID6Dvvac.html#df30e8091f,2007 ,272 000 km,1 998 cm3,Benzyna,19 800,PLN,Radom,(Mazowieckie)
Škoda Superb 2.0,https://www.otomoto.pl/oferta/skoda-superb-elegance-common-rail-2-0tdi-140km-manual-6-biegow-xenon-navi-alu-ID6DwwWh.html#df30e8091f,2010 ,269 200 km,1 968 cm3,Diesel,31 500,PLN,Dębno,(Zachodniopomorskie)
Toyota Auris 1.8,https://www.otomoto.pl/oferta/toyota-auris-piekna-1-8120km-hybryda-navi3d-kamera-full-led-44tys-km-z-niemiec-ID6DwRa0.html#df30e8091f,2016 ,44 236 km,1 798 cm3,Hybryda,55 900,PLN,Ostrowiec Świętokrzyski,(Świętokrzyskie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-highline-190km-2019-r-r-line-salon-pl-i-wlasciciel-vat-gwaran-ID6DgkIP.html#df30e8091f,2019 ,38 200 km,2 000 cm3,Diesel,122 986,PLN,Jawornik,(Małopolskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-a3-30-tfsi-6-biegow-led-smartphone-interface-aso-krotoski-lodz-ID6Dn1e7.html#df30e8091f,2020 ,5 km,999 cm3,Benzyna,90 900,PLN,Łódź,(Łódzkie)
Volkswagen Golf IV,https://www.otomoto.pl/oferta/volkswagen-golf-mozliwa-zamiana-ID6DwR6S.html#df30e8091f,2000 ,280 000 km,,Benzyna+LPG,3 999,PLN,Warszawa,(Mazowieckie)
Opel Astra 1.4,https://www.otomoto.pl/oferta/opel-astra-v-1-4-t-150-km-pl-salon-1-wlasciciel-lane-assist-aktyw-tempomat-ID6DwRa5.html#df30e8091f,2016 ,193 000 km,1 399 cm3,Benzyna,39 900,PLN,Kraków,(Małopolskie)
Seat Ibiza,https://www.otomoto.pl/oferta/seat-ibiza-iv-1-4i-16v-chili-copa-klimatyzacja-4-cylindry-ID6DqGoh.html#df30e8091f,2012 ,105 000 km,1 400 cm3,Benzyna,22 500,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Hyundai I30 1.0,https://www.otomoto.pl/oferta/hyundai-i30-1-0-t-gdi-kamera-grzane-fotele-tempomat-elektryka-ID6Dvv5H.html#df30e8091f,2017 ,44 000 km,998 cm3,Benzyna,39 900,PLN,Modlniczka,(Małopolskie)
Mazda 3,https://www.otomoto.pl/oferta/mazda-3-2017-2-0-165km-10-000km-lift-automat-tempomat-kamera-grzana-kier-alu16-ID6Dvm2t.html#df30e8091f,2017 ,10 000 km,1 998 cm3,Benzyna,34 700,PLN,Olmonty,(Podlaskie)
Saab 9000 CSE,https://www.otomoto.pl/oferta/saab-9000-saab-9000-cs-2-0-ID6DvwXy.html#df30e8091f,1996 ,277 000 km,1 985 cm3,Benzyna,5 800,PLN,Iława,(Warmińsko-mazurskie)
Peugeot 2008,https://www.otomoto.pl/oferta/peugeot-2008-1-6-ehdi-120-km-full-opcja-ID6DwR7N.html#df30e8091f,2018 ,20 000 km,1 560 cm3,Diesel,34 900,PLN,Chodzież,(Wielkopolskie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-ID6Dvv4Y.html#df30e8091f,2007 ,260 000 km,1 968 cm3,Diesel,16 799,PLN,Żernica,(Śląskie)
Renault Laguna II,https://www.otomoto.pl/oferta/renault-laguna-ii-fl-2-0-benzyna-po-serwisie-bezwypadkowy-niski-przebieg-rej-pl-ID6Dvv59.html#df30e8091f,2005 ,122 000 km,1 998 cm3,Benzyna,10 900,PLN,Zawiercie,(Śląskie)
Toyota Corolla 1.6,https://www.otomoto.pl/oferta/toyota-corolla-toyota-corolla-prestige-1-6-132-km-automat-felgi-17-ID6Dutz9.html#df30e8091f,2016 ,80 000 km,1 598 cm3,Benzyna,54 000,PLN,Warszawa,(Mazowieckie)
BMW Seria 1,https://www.otomoto.pl/oferta/bmw-seria-1-polecam-bmw-f20-116d-120km-2012r-niski-przebieg-alu-zadbana-ID6CY6A8.html#df30e8091f,2012 ,99 000 km,1 995 cm3,Diesel,33 000,PLN,Mosina,(Wielkopolskie)
Peugeot 306 1.6,https://www.otomoto.pl/oferta/peugeot-306-koniecznie-zobacz-opis-wind-shots-skory-klima-grzane-fotele-remus-ID6Dvv3n.html#df30e8091f,1998 ,255 000 km,1 587 cm3,Benzyna,9 999,PLN,Dalki,(Wielkopolskie)
BMW Seria 3 318d,https://www.otomoto.pl/oferta/bmw-seria-3-gwarancja-kamera-cofania-sport-line-1-wlasciciel-pl-salon-fv23-ID6Dvn2T.html#df30e8091f,2019 ,35 000 km,1 995 cm3,Diesel,99 900,PLN,Łaskarzew,(Mazowieckie)
Mercedes-Benz ML 320,https://www.otomoto.pl/oferta/mercedes-benz-ml-320-cdi-full-ID6DvrWq.html#df30e8091f,2006 ,198 000 km,2 987 cm3,Diesel,38 000,PLN,Oleśnica,(Dolnośląskie)
Volvo S60 T3,https://www.otomoto.pl/oferta/volvo-s60-max-opcja-lift-bardzo-zadbane-ID6Dvv1Y.html#df30e8091f,2013 ,210 000 km,1 596 cm3,Benzyna,34 900,PLN,Ostrołęka,(Mazowieckie)
Opel Astra III,https://www.otomoto.pl/oferta/opel-astra-zadbany-w-idealnym-stanie-potwierdzony-przebieg-ID6Dtv17.html#df30e8091f,2007 ,185 289 km,1 364 cm3,Benzyna,13 500,PLN,Piaseczno,(Mazowieckie)
Opel Insignia,https://www.otomoto.pl/oferta/opel-insignia-bardzo-ladny-opel-insignia-1-8-benzyna-ID6DwR4L.html#df30e8091f,2010 ,163 000 km,1 796 cm3,Benzyna,26 900,PLN,Kraśnik,(Lubelskie)
BMW Seria 3 E90/E91/E92/E93,https://www.otomoto.pl/oferta/bmw-seria-3-bwm-seria-3-318d-ID6DvwU0.html#df30e8091f,2008 ,232 000 km,1 995 cm3,Diesel,17 900,PLN,Pisarzowice,(Opolskie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-variant-elegance-2-0tdi-240km-dsg-4motion-od-reki-plichta-ID6DqUqg.html#df30e8091f,2020 ,10 km,1 968 cm3,Diesel,237 999,PLN,Toruń,(Kujawsko-pomorskie)
Mitsubishi Outlander 2.2,https://www.otomoto.pl/oferta/mitsubishi-outlander-zobacz-opis-7-osob-4x4-skory-navi-kamera-automat-mozliwosc-zamiany-ID6Dvv0l.html#df30e8091f,2013 ,114 000 km,2 268 cm3,Diesel,59 600,PLN,Goranin,(Wielkopolskie)
Mercedes-Benz CLA,https://www.otomoto.pl/oferta/mercedes-benz-cla-220-cdi-170km-amg-salon-polska-mozliwa-zamiana-ID6DvqCO.html#df30e8091f,2013 ,240 000 km,2 143 cm3,Diesel,75 000,PLN,Poznań,(Wielkopolskie)
Mercedes-Benz ML 350,https://www.otomoto.pl/oferta/mercedes-benz-ml-bluetec-4matic-i-wlasciciel-100-bezwypadek-salon-pl-ID6DwQeD.html#df30e8091f,2011 ,158 500 km,2 987 cm3,Diesel,98 900,PLN,Częstochowa,(Śląskie)
BMW Seria 3,https://www.otomoto.pl/oferta/bmw-seria-3-320d-efficient-dynamics-edition-luxury-line-bixenon-navi-skora-aso-ID6DwR2t.html#df30e8091f,2011 ,239 421 km,1 995 cm3,Diesel,36 900,PLN,Siedlce,(Mazowieckie)
Peugeot 508 1.6,https://www.otomoto.pl/oferta/peugeot-508-polski-salon-automat-1-6-benzyna-120km-aso-ID6DwtKu.html#df30e8091f,2011 ,154 551 km,1 598 cm3,Benzyna,26 900,PLN,Myszyniec,(Mazowieckie)
Renault Twingo 1.2,https://www.otomoto.pl/oferta/renault-twingo-1-2-benzyna-60km-2010r-bardzo-dobry-stan-bezwypadkowe-ID6DwR16.html#df30e8091f,2010 ,210 732 km,1 149 cm3,Benzyna,7 999,PLN,Radomsko,(Łódzkie)
Ford B-MAX 1.5,https://www.otomoto.pl/oferta/ford-b-max-model-po-liftingu-ledy-klima-elektryka-32tkm-mozliwosc-zamiany-ID6DvwXt.html#8be0533638,2014 ,32 000 km,1 498 cm3,Diesel,33 600,PLN,Woźniki,(Wielkopolskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-higline-1-5-ID6CNBf5.html#8be0533638,2019 ,20 000 km,1 498 cm3,Benzyna,87 000,PLN,Głogów,(Dolnośląskie)
Mini Cooper S,https://www.otomoto.pl/oferta/mini-cooper-s-john-cooper-works-harman-panorama-skora-aut-231ps-zamiana-ID6DwqAl.html#8be0533638,2016 ,118 000 km,,Benzyna,79 999,PLN,Legnica,(Dolnośląskie)
Mercedes-Benz Klasa B 180,https://www.otomoto.pl/oferta/mercedes-benz-klasa-b-mercedes-b-klasa-ID6DvwVm.html#8be0533638,2010 ,95 800 km,1 699 cm3,Benzyna,26 500,PLN,Nowy Sącz,(Małopolskie)
Audi A8 3.0,https://www.otomoto.pl/oferta/audi-a8-quattro-matrix-bezwypadkowa-roczna-gwarancja-kamery-ID6DtvZf.html#8be0533638,2015 ,170 000 km,2 967 cm3,Diesel,154 800,PLN,Chodzież,(Wielkopolskie)
Mazda CX-3,https://www.otomoto.pl/oferta/mazda-cx-3-darmowa-dostawa-klima-bluetooth-pdc-serwis-aso-1-wl-ID6DvwVC.html#8be0533638,2016 ,69 549 km,1 991 cm3,Benzyna,63 500,PLN,Warszawa,(Mazowieckie)
Audi A6 Avant,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c7-cesja-perelka-najbogatsza-wersja-313-km-bitdi-ID6DwQXt.html#8be0533638,2014 ,167 580 km,2 967 cm3,Diesel,142 544,PLN,Toruń,(Kujawsko-pomorskie)
Citroën Jumpy Combi,https://www.otomoto.pl/oferta/citroen-jumpy-combi-long-nawiewy-8osob-zamiana-2x-drzwi-163km-71tys-przebiegu-automat-ID6CXlsn.html#8be0533638,2013 ,74 000 km,1 997 cm3,Diesel,54 000,PLN,Płock,(Mazowieckie)
Volkswagen Phaeton,https://www.otomoto.pl/oferta/volkswagen-phaeton-long-4x4-3-0-tdi-model-2015-ID6Dtmt8.html#8be0533638,2014 ,111 000 km,3 000 cm3,Diesel,89 900,PLN,Człuchów,(Pomorskie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-navi-bluetooth-tempomat-hist-serwisowa-ID6DvwVj.html#8be0533638,2011 ,124 748 km,1 364 cm3,Benzyna,28 900,PLN,Warszawa,(Mazowieckie)
Peugeot 308 SW,https://www.otomoto.pl/oferta/peugeot-308-1-6-115km-bluehdi-nawi-pdc-s-s-led-ID6DuU14.html#8be0533638,2017 ,79 800 km,1 560 cm3,Diesel,45 900,PLN,Śrem,(Wielkopolskie)
Hyundai I30,https://www.otomoto.pl/oferta/hyundai-i30-darmowa-dostawa-klima-auto-kierownica-wielofunkcyjna-ID6DvwWX.html#8be0533638,2011 ,132 451 km,1 396 cm3,Benzyna,19 900,PLN,Warszawa,(Mazowieckie)
Ford Fiesta,https://www.otomoto.pl/oferta/ford-fiesta-darmowa-dostawa-klima-kierownica-wielofunkcyjna-hist-serwisowa-ID6DvwWF.html#8be0533638,2012 ,76 283 km,1 242 cm3,Benzyna,22 500,PLN,Warszawa,(Mazowieckie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-highline-2-0-tdi-ID6DwQYn.html#8be0533638,2012 ,235 000 km,1 968 cm3,Diesel,33 900,PLN,Końskie,(Świętokrzyskie)
Seat Leon 1.6,https://www.otomoto.pl/oferta/seat-leon-1-6-mpi-lift-klima-alu-ID6DwQX3.html#8be0533638,2010 ,167 000 km,1 595 cm3,Benzyna,17 900,PLN,Bierutów,(Dolnośląskie)
Toyota Yaris,https://www.otomoto.pl/oferta/toyota-yaris-zadbana-ID6Dvqxk.html#8be0533638,2013 ,78 510 km,1 329 cm3,Benzyna,28 500,PLN,Wałbrzych,(Dolnośląskie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-xenon-navi-polskora-grzane-fotele-hist-serwisowa-ID6DvwWm.html#8be0533638,2014 ,99 633 km,1 364 cm3,Benzyna,36 900,PLN,Warszawa,(Mazowieckie)
BMW Seria 6 640d,https://www.otomoto.pl/oferta/bmw-seria-6-unikat-bmw-640xd-lift-mpakiet-full-salonaso-ceramika-oryginal-zamiana-ID6DnCbS.html#8be0533638,2014 ,153 000 km,2 993 cm3,Diesel,144 900,PLN,Radom,(Mazowieckie)
Citroën C4 Cactus,https://www.otomoto.pl/oferta/citroen-c4-cactus-gratis-roczna-gwarancja-1-6-diesel-99-km-ID6DvwUH.html#8be0533638,2015 ,162 000 km,1 560 cm3,Diesel,31 500,PLN,Lipno,(Kujawsko-pomorskie)
Škoda Octavia,https://www.otomoto.pl/oferta/skoda-octavia-darmowa-dostawa-klima-auto-pdc-grzane-fotele-hist-serwisowa-ID6DvwW5.html#8be0533638,2009 ,100 649 km,1 390 cm3,Benzyna,23 500,PLN,Warszawa,(Mazowieckie)
Opel Zafira 1.8,https://www.otomoto.pl/oferta/opel-zafira-1-8-benzyna-7osobowa-krajowa-1-wlasciciel-ID6DwQKJ.html#8be0533638,2014 ,99 789 km,1 796 cm3,Benzyna,39 700,PLN,Kielce,(Świętokrzyskie)
